#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atg12	Atg7	4577.GRMZM5G842517_P02	4577.GRMZM2G005304_P01	0	0	0	0	0.053	0.965	0.791	0.968	0.999
Atg12	atg8e	4577.GRMZM5G842517_P02	4577.GRMZM2G014975_P01	0	0	0	0	0.049	0.848	0.657	0.783	0.987
Atg12	GRMZM2G063355_P01	4577.GRMZM5G842517_P02	4577.GRMZM2G063355_P01	0	0	0	0	0.061	0.857	0.641	0.615	0.978
Atg12	Atg4a	4577.GRMZM5G842517_P02	4577.GRMZM2G064212_P02	0	0	0	0	0	0.642	0	0.881	0.955
Atg12	IDP1471	4577.GRMZM5G842517_P02	4577.GRMZM2G076826_P01	0	0	0	0	0.049	0.848	0.657	0.869	0.992
Atg12	GRMZM2G092447_P01	4577.GRMZM5G842517_P02	4577.GRMZM2G092447_P01	0	0	0	0	0.044	0.045	0.665	0.881	0.958
Atg12	Atg5	4577.GRMZM5G842517_P02	4577.GRMZM2G098420_P02	0	0	0	0	0.053	0.970	0.791	0.971	0.999
Atg12	Atg8e	4577.GRMZM5G842517_P02	4577.GRMZM2G134613_P01	0	0	0	0	0.049	0.848	0.657	0.889	0.993
Atg12	nbr1b	4577.GRMZM5G842517_P02	4577.GRMZM2G139846_P01	0	0	0	0	0.044	0.045	0.665	0.881	0.958
Atg12	GRMZM2G164160_P01	4577.GRMZM5G842517_P02	4577.GRMZM2G164160_P01	0	0	0	0	0	0.266	0	0.800	0.847
Atg12	Atg4b	4577.GRMZM5G842517_P02	4577.GRMZM2G173682_P01	0	0	0	0	0	0.642	0	0.871	0.951
Atg12	atg8b	4577.GRMZM5G842517_P02	4577.GRMZM2G419694_P05	0	0	0	0	0.049	0.848	0.657	0.869	0.992
Atg12	Pco096794a	4577.GRMZM5G842517_P02	4577.GRMZM5G818887_P01	0	0	0	0	0.061	0.857	0.641	0.910	0.995
Atg4a	Atg7	4577.GRMZM2G064212_P02	4577.GRMZM2G005304_P01	0	0	0	0	0.115	0.266	0	0.910	0.936
Atg4a	atg8e	4577.GRMZM2G064212_P02	4577.GRMZM2G014975_P01	0	0	0	0	0.264	0.818	0.624	0.801	0.988
Atg4a	GRMZM2G063355_P01	4577.GRMZM2G064212_P02	4577.GRMZM2G063355_P01	0	0	0	0	0.086	0.615	0	0.496	0.807
Atg4a	nbr1b	4577.GRMZM2G064212_P02	4577.GRMZM2G139846_P01	0	0	0	0	0	0.054	0	0.677	0.681
Atg4a	GRMZM2G092447_P01	4577.GRMZM2G064212_P02	4577.GRMZM2G092447_P01	0	0	0	0	0.155	0.054	0	0.677	0.719
Atg4a	Atg5	4577.GRMZM2G064212_P02	4577.GRMZM2G098420_P02	0	0	0	0	0.079	0.079	0	0.846	0.858
Atg4a	Pco096794a	4577.GRMZM2G064212_P02	4577.GRMZM5G818887_P01	0	0	0	0	0.086	0.615	0	0.636	0.861
Atg4a	GRMZM2G164160_P01	4577.GRMZM2G064212_P02	4577.GRMZM2G164160_P01	0	0	0	0	0.405	0.514	0	0.781	0.931
Atg4a	atg8b	4577.GRMZM2G064212_P02	4577.GRMZM2G419694_P05	0	0	0	0	0.129	0.818	0.624	0.511	0.966
Atg4a	IDP1471	4577.GRMZM2G064212_P02	4577.GRMZM2G076826_P01	0	0	0	0	0.129	0.818	0.921	0.511	0.993
Atg4a	Atg8e	4577.GRMZM2G064212_P02	4577.GRMZM2G134613_P01	0	0	0	0	0.246	0.818	0.921	0.803	0.997
Atg4b	Atg7	4577.GRMZM2G173682_P01	4577.GRMZM2G005304_P01	0	0	0	0	0.115	0.266	0	0.871	0.908
Atg4b	atg8e	4577.GRMZM2G173682_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.129	0.818	0.624	0.833	0.988
Atg4b	GRMZM2G063355_P01	4577.GRMZM2G173682_P01	4577.GRMZM2G063355_P01	0	0	0	0	0.086	0.615	0	0.496	0.807
Atg4b	IDP1471	4577.GRMZM2G173682_P01	4577.GRMZM2G076826_P01	0	0	0	0	0.129	0.818	0.624	0.802	0.986
Atg4b	GRMZM2G092447_P01	4577.GRMZM2G173682_P01	4577.GRMZM2G092447_P01	0	0	0	0	0	0.054	0	0.677	0.681
Atg4b	Atg5	4577.GRMZM2G173682_P01	4577.GRMZM2G098420_P02	0	0	0	0	0.079	0.079	0	0.616	0.645
Atg4b	Atg8e	4577.GRMZM2G173682_P01	4577.GRMZM2G134613_P01	0	0	0	0	0.129	0.818	0.624	0.883	0.992
Atg4b	nbr1b	4577.GRMZM2G173682_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0.054	0	0.677	0.681
Atg4b	GRMZM2G164160_P01	4577.GRMZM2G173682_P01	4577.GRMZM2G164160_P01	0	0	0	0	0.354	0.514	0	0.844	0.946
Atg4b	Pco096794a	4577.GRMZM2G173682_P01	4577.GRMZM5G818887_P01	0	0	0	0	0.086	0.615	0	0.630	0.858
Atg4b	atg8b	4577.GRMZM2G173682_P01	4577.GRMZM2G419694_P05	0	0	0	0	0.129	0.818	0.624	0.802	0.986
Atg5	Atg7	4577.GRMZM2G098420_P02	4577.GRMZM2G005304_P01	0	0	0	0	0.112	0.851	0.791	0.968	0.999
Atg5	atg8e	4577.GRMZM2G098420_P02	4577.GRMZM2G014975_P01	0	0	0	0	0	0.842	0.657	0.676	0.980
Atg5	GRMZM2G063355_P01	4577.GRMZM2G098420_P02	4577.GRMZM2G063355_P01	0	0	0	0	0.054	0.855	0.925	0.615	0.995
Atg5	IDP1471	4577.GRMZM2G098420_P02	4577.GRMZM2G076826_P01	0	0	0	0	0	0.842	0.657	0.869	0.992
Atg5	GRMZM2G092447_P01	4577.GRMZM2G098420_P02	4577.GRMZM2G092447_P01	0	0	0	0	0	0.069	0.665	0.896	0.964
Atg5	GRMZM2G158248_P03	4577.GRMZM2G098420_P02	4577.GRMZM2G158248_P03	0	0	0	0	0	0	0	0.517	0.517
Atg5	GRMZM2G135038_P01	4577.GRMZM2G098420_P02	4577.GRMZM2G135038_P01	0	0	0	0	0	0	0	0.517	0.517
Atg5	GRMZM2G164160_P01	4577.GRMZM2G098420_P02	4577.GRMZM2G164160_P01	0	0	0	0	0	0.231	0	0.705	0.763
Atg5	nbr1b	4577.GRMZM2G098420_P02	4577.GRMZM2G139846_P01	0	0	0	0	0	0.069	0.665	0.896	0.964
Atg5	atg8b	4577.GRMZM2G098420_P02	4577.GRMZM2G419694_P05	0	0	0	0	0	0.842	0.657	0.869	0.992
Atg5	Atg8e	4577.GRMZM2G098420_P02	4577.GRMZM2G134613_P01	0	0	0	0	0	0.842	0.657	0.868	0.992
Atg5	Pco096794a	4577.GRMZM2G098420_P02	4577.GRMZM5G818887_P01	0	0	0	0	0.054	0.855	0.925	0.871	0.998
Atg7	GRMZM2G164160_P01	4577.GRMZM2G005304_P01	4577.GRMZM2G164160_P01	0	0	0	0	0.069	0.453	0	0.880	0.933
Atg7	GRMZM2G092447_P01	4577.GRMZM2G005304_P01	4577.GRMZM2G092447_P01	0	0	0	0	0	0.069	0	0.958	0.959
Atg7	nbr1b	4577.GRMZM2G005304_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0.069	0	0.958	0.959
Atg7	GRMZM2G063355_P01	4577.GRMZM2G005304_P01	4577.GRMZM2G063355_P01	0	0	0	0	0.170	0.927	0.641	0.737	0.993
Atg7	atg8b	4577.GRMZM2G005304_P01	4577.GRMZM2G419694_P05	0	0	0	0	0.083	0.885	0.657	0.867	0.994
Atg7	atg8e	4577.GRMZM2G005304_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.083	0.885	0.657	0.891	0.995
Atg7	IDP1471	4577.GRMZM2G005304_P01	4577.GRMZM2G076826_P01	0	0	0	0	0.083	0.885	0.928	0.867	0.998
Atg7	Pco096794a	4577.GRMZM2G005304_P01	4577.GRMZM5G818887_P01	0	0	0	0	0.170	0.927	0.641	0.955	0.998
Atg7	Atg8e	4577.GRMZM2G005304_P01	4577.GRMZM2G134613_P01	0	0	0	0	0.083	0.885	0.928	0.923	0.999
Atg8e	atg8e	4577.GRMZM2G134613_P01	4577.GRMZM2G014975_P01	0	0	0	0.976	0.820	0	0	0	0.820
Atg8e	GRMZM2G063355_P01	4577.GRMZM2G134613_P01	4577.GRMZM2G063355_P01	0	0	0	0	0.215	0.818	0.921	0.513	0.993
Atg8e	IDP1471	4577.GRMZM2G134613_P01	4577.GRMZM2G076826_P01	0	0	0	0.982	0.376	0	0.800	0.612	0.871
Atg8e	GRMZM2G092447_P01	4577.GRMZM2G134613_P01	4577.GRMZM2G092447_P01	0	0	0	0	0.390	0.952	0.900	0.773	0.999
Atg8e	GRMZM2G373717_P01	4577.GRMZM2G134613_P01	4577.GRMZM2G373717_P01	0	0	0	0	0.043	0.671	0	0.133	0.703
Atg8e	GRMZM2G164160_P01	4577.GRMZM2G134613_P01	4577.GRMZM2G164160_P01	0	0	0	0	0.234	0.836	0.636	0.850	0.992
Atg8e	Pco096794a	4577.GRMZM2G134613_P01	4577.GRMZM5G818887_P01	0	0	0	0	0.215	0.818	0.921	0.591	0.994
Atg8e	nbr1b	4577.GRMZM2G134613_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0.952	0.900	0.773	0.998
GRMZM2G037624_P01	GRMZM2G373717_P01	4577.GRMZM2G037624_P01	4577.GRMZM2G373717_P01	0	0	0	0	0	0	0	0.503	0.503
GRMZM2G063355_P01	atg8e	4577.GRMZM2G063355_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.215	0.818	0.624	0.513	0.970
GRMZM2G063355_P01	GRMZM2G164160_P01	4577.GRMZM2G063355_P01	4577.GRMZM2G164160_P01	0	0	0	0	0.108	0.171	0	0.535	0.626
GRMZM2G063355_P01	GRMZM2G092447_P01	4577.GRMZM2G063355_P01	4577.GRMZM2G092447_P01	0	0	0	0	0	0	0	0.760	0.760
GRMZM2G063355_P01	nbr1b	4577.GRMZM2G063355_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0	0	0.760	0.760
GRMZM2G063355_P01	Pco096794a	4577.GRMZM2G063355_P01	4577.GRMZM5G818887_P01	0	0	0	0.970	0	0	0.800	0	0.800
GRMZM2G063355_P01	atg8b	4577.GRMZM2G063355_P01	4577.GRMZM2G419694_P05	0	0	0	0	0.215	0.818	0.624	0.513	0.970
GRMZM2G063355_P01	IDP1471	4577.GRMZM2G063355_P01	4577.GRMZM2G076826_P01	0	0	0	0	0.215	0.818	0.921	0.513	0.993
GRMZM2G092447_P01	atg8e	4577.GRMZM2G092447_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.169	0.952	0.900	0.773	0.998
GRMZM2G092447_P01	IDP1471	4577.GRMZM2G092447_P01	4577.GRMZM2G076826_P01	0	0	0	0	0.190	0.952	0.900	0.773	0.998
GRMZM2G092447_P01	GRMZM2G164160_P01	4577.GRMZM2G092447_P01	4577.GRMZM2G164160_P01	0	0	0	0	0.109	0.265	0	0.634	0.739
GRMZM2G092447_P01	Pco096794a	4577.GRMZM2G092447_P01	4577.GRMZM5G818887_P01	0	0	0	0	0	0	0	0.760	0.760
GRMZM2G092447_P01	nbr1b	4577.GRMZM2G092447_P01	4577.GRMZM2G139846_P01	0	0	0	0.795	0	0.941	0.790	0.901	0.989
GRMZM2G092447_P01	atg8b	4577.GRMZM2G092447_P01	4577.GRMZM2G419694_P05	0	0	0	0	0	0.952	0.900	0.773	0.998
GRMZM2G135038_P01	pco113424	4577.GRMZM2G135038_P01	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.568	0.568
GRMZM2G135038_P01	GRMZM2G373717_P01	4577.GRMZM2G135038_P01	4577.GRMZM2G373717_P01	0	0	0	0	0.053	0	0	0.446	0.452
GRMZM2G158248_P03	pco113424	4577.GRMZM2G158248_P03	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.568	0.568
GRMZM2G158248_P03	GRMZM2G373717_P01	4577.GRMZM2G158248_P03	4577.GRMZM2G373717_P01	0	0	0	0	0.053	0	0	0.446	0.452
GRMZM2G164160_P01	atg8e	4577.GRMZM2G164160_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.133	0.836	0.636	0.878	0.992
GRMZM2G164160_P01	IDP1471	4577.GRMZM2G164160_P01	4577.GRMZM2G076826_P01	0	0	0	0	0	0.836	0.636	0.565	0.971
GRMZM2G164160_P01	nbr1b	4577.GRMZM2G164160_P01	4577.GRMZM2G139846_P01	0	0	0	0	0.109	0.265	0	0.634	0.739
GRMZM2G164160_P01	Pco096794a	4577.GRMZM2G164160_P01	4577.GRMZM5G818887_P01	0	0	0	0	0.108	0.171	0	0.535	0.626
GRMZM2G164160_P01	atg8b	4577.GRMZM2G164160_P01	4577.GRMZM2G419694_P05	0	0	0	0	0	0.836	0.636	0.565	0.971
GRMZM2G352431_P02	pco113424	4577.GRMZM2G352431_P02	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.569	0.569
GRMZM2G352431_P02	GRMZM2G373717_P01	4577.GRMZM2G352431_P02	4577.GRMZM2G373717_P01	0	0	0	0	0	0	0	0.507	0.507
GRMZM2G373717_P01	atg8e	4577.GRMZM2G373717_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.043	0.671	0	0.133	0.703
GRMZM2G373717_P01	TIDP2780	4577.GRMZM2G373717_P01	4577.GRMZM2G055135_P07	0	0	0	0	0	0	0	0.540	0.540
GRMZM2G373717_P01	pco113424	4577.GRMZM2G373717_P01	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.682	0.682
GRMZM2G373717_P01	IDP1471	4577.GRMZM2G373717_P01	4577.GRMZM2G076826_P01	0	0	0	0	0.043	0.671	0	0.133	0.703
GRMZM2G373717_P01	atg8b	4577.GRMZM2G373717_P01	4577.GRMZM2G419694_P05	0	0	0	0	0.043	0.671	0	0.133	0.703
IDP1471	Pco096794a	4577.GRMZM2G076826_P01	4577.GRMZM5G818887_P01	0	0	0	0	0.215	0.818	0.921	0.513	0.993
IDP1471	nbr1b	4577.GRMZM2G076826_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0.952	0.900	0.773	0.998
Pco096794a	atg8e	4577.GRMZM5G818887_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.215	0.818	0.624	0.513	0.970
Pco096794a	nbr1b	4577.GRMZM5G818887_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0	0	0.760	0.760
Pco096794a	atg8b	4577.GRMZM5G818887_P01	4577.GRMZM2G419694_P05	0	0	0	0	0.215	0.818	0.624	0.513	0.970
atg8b	nbr1b	4577.GRMZM2G419694_P05	4577.GRMZM2G139846_P01	0	0	0	0	0	0.952	0.900	0.773	0.998
atg8e	nbr1b	4577.GRMZM2G014975_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0.952	0.900	0.773	0.998
